uf,tema,tipo_instituicao,instituicao,status,negociado,executado
Minas Gerais,Estádios,Governo Estadual,Governo do Estado de Minas Gerais,Concluído,695000000.0,695000000.0
Distrito Federal,Estádios,Governo Distrital,Governo do Distrito Federal,Concluído,1403300000.0,1403300000.0
Mato Grosso,Estádios,Governo Estadual,Governo do Estado de Mato Grosso,Concluído,596400000.0,596400000.0
Ceará,Estádios,Governo Estadual,Governo do Estado do Ceará,Concluído,518606000.0,518606000.0
Amazonas,Estádios,Governo Estadual,Governo do Estado de Amazonas,Concluído,660500000.0,660500000.0
Rio Grande do Norte,Estádios,Governo Estadual,Governo do Estado do rio Grande do Norte,Em Andamento,400000000.0,400000000.0
Pernambuco,Estádios,Governo Estadual,Governo do Estado de Pernambuco,Concluído,532600000.0,532600000.0
São Paulo,Aeroportos,Governo Federal,Infraero,Concluído,235510000.0,235510000.0
Ceará,Aeroportos,Governo Federal,Infraero,Em Andamento,171110000.0,27377600.0
Rio Grande do Norte,Aeroportos,Governo Federal,Infraero,Em Andamento,383400000.0,383400000.0
Rio Grande do Norte,Aeroportos,Governo Federal,Infraero,Concluído,189150000.0,189150000.0
São Paulo,Aeroportos,Governo Federal,Infraero,Concluído,83650000.0,83650000.0
Mato Grosso,Aeroportos,Governo Federal,Infraero,Em Andamento,98680000.0,75983600.0
Mato Grosso,Aeroportos,Governo Federal,Infraero,Concluído,2530000.0,2530000.0
Amazonas,Aeroportos,Governo Federal,Infraero,Em Andamento,445070000.0,427267200.0
São Paulo,Aeroportos,Governo Federal,Infraero,Concluído,183530000.0,183530000.0
São Paulo,Aeroportos,Governo Federal,Infraero,Em Andamento,4910000.0,4910000.0
Distrito Federal,Aeroportos,Governo Federal,Infraero,Em Andamento,4810000.0,4810000.0
Minas Gerais,Aeroportos,Governo Federal,Infraero,Em Andamento,218570000.0,113656400.0
Minas Gerais,Aeroportos,Governo Federal,Infraero,Em Andamento,184700000.0,96044000.0
Paraná,Aeroportos,Governo Federal,Infraero,Em Andamento,110160000.0,41860800.0
Paraná,Aeroportos,Governo Federal,Infraero,Concluído,28040000.0,28040000.0
Paraná,Aeroportos,Governo Federal,Infraero,Concluído,19060000.0,19060000.0
Rio de Janeiro,Aeroportos,Governo Federal,Infraero,Em Andamento,115860000.0,63723000.0
Rio de Janeiro,Aeroportos,Governo Federal,Infraero,Em Andamento,188690000.0,152838900.0
Rio de Janeiro,Aeroportos,Governo Federal,Infraero,Concluído,139100000.0,139100000.0
Bahia,Aeroportos,Governo Federal,Infraero,Em Andamento,79230000.0,50707200.0
Bahia,Aeroportos,Governo Federal,Infraero,Concluído,17560000.0,17560000.0
Bahia,Aeroportos,Governo Federal,Infraero,Concluído,16140000.0,16140000.0
Rio Grande do Sul,Aeroportos,Governo Federal,Infraero,Em Andamento,58990000.0,2359600.0
Rio Grande do Sul,Aeroportos,Governo Federal,Infraero,Concluído,4950000.0,4950000.0
Ceará,Portos,Governo Federal,Secretaria de Portos da Presidência da República,Em Andamento,224000000.0,215040000.0
Amazonas,Portos,Governo Federal,Departamento Nacional de Infraestrutura de Transportes - Dnit,Em Andamento,71100000.0,67545000.0
Rio Grande do Norte,Portos,Governo Federal,Secretaria de Portos da Presidência da República,Em Andamento,79800000.0,79800000.0
Pernambuco,Portos,Governo Estadual,Porto do Recife s/a,Concluído,28100000.0,28100000.0
Bahia,Portos,Governo Federal,Secretaria de Portos da Presidência da República,Em Andamento,40700000.0,36630000.0
São Paulo,Portos,Governo Federal,Secretaria de Portos da Presidência da República,Em Andamento,154000000.0,154000000.0
Rio de Janeiro,Estádios,Governo Estadual,Governo do Estado do rio de Janeiro,Concluído,1050000000.0,1050000000.0
Minas Gerais,Mobilidade Urbana,Governo Municipal,Prefeitura Municipal de Belo Horizonte,Em Andamento,726413690.11,668300594.9012
Minas Gerais,Mobilidade Urbana,Governo Municipal,Prefeitura Municipal de Belo Horizonte,Em Andamento,161605629.37,161605629.37
Minas Gerais,Mobilidade Urbana,Governo Municipal,Prefeitura Municipal de Belo Horizonte,Em Andamento,75449801.33,75449801.33
Minas Gerais,Mobilidade Urbana,Governo Municipal,Prefeitura Municipal de Belo Horizonte,Concluído,31600000.0,31600000.0
Bahia,Estádios,Governo Estadual,Governo do Estado da Bahia,Concluído,689400000.0,689400000.0
Minas Gerais,Mobilidade Urbana,Governo Municipal,Prefeitura Municipal de Belo Horizonte,Concluído,129616902.75,129616902.75
Minas Gerais,Mobilidade Urbana,Governo Municipal,Prefeitura Municipal de Belo Horizonte,Em Andamento,55312530.55,55312530.55
Paraná,Estádios,Entidade Privada,Concessionário,Em Andamento,391500000.0,391500000.0
Minas Gerais,Mobilidade Urbana,Governo Municipal,Prefeitura Municipal de Belo Horizonte,Concluído,233361933.71,233361933.71
Rio Grande do Sul,Estádios,Entidade Privada,Concessionário,Em Andamento,366300000.0,366300000.0
São Paulo,Estádios,Entidade Privada,Sport Club Corinthians Paulista,Concluído,1080000000.0,1080000000.0
Distrito Federal,Mobilidade Urbana,Governo Distrital,Governo do Distrito Federal,Concluído,54250000.0,54250000.0
Mato Grosso,Mobilidade Urbana,Governo Estadual,Governo do Estado de Mato Grosso,Em Andamento,52900000.0,50255000.0
Mato Grosso,Mobilidade Urbana,Governo Estadual,Secretaria Extraordinária da Copa do Mundo Fifa 2014,Em Andamento,1577600000.0,1009664000.0
Mato Grosso,Mobilidade Urbana,Governo Estadual,Governo do Estado de Mato Grosso,Em Andamento,76000000.0,59280000.0
Paraná,Mobilidade Urbana,Governo Municipal,Prefeitura Municipal de Curitiba,Em Andamento,165300000.0,163647000.0
Paraná,Mobilidade Urbana,Governo Municipal,Prefeitura Municipal de Curitiba,Em Andamento,61260000.0,60647400.0
Paraná,Mobilidade Urbana,Governo Municipal,Prefeitura Municipal de Curitiba,Em Andamento,47830783.8,47830783.8
Paraná,Mobilidade Urbana,Governo Municipal,Prefeitura Municipal de Curitiba,Em Andamento,28123951.3,27280232.761
Paraná,Mobilidade Urbana,Governo Municipal,Prefeitura Municipal de Curitiba,Em Andamento,12600000.0,5292000.0
Paraná,Mobilidade Urbana,Governo Estadual,Governo do Estado do Paraná,Em Andamento,30500000.0,18300000.0
Paraná,Mobilidade Urbana,Governo Estadual,Governo do Estado do Paraná,Em Andamento,56349467.22,30428712.298800003
Mato Grosso,Telecomunicações,Governo Federal,Anatel,Em Andamento,171050000.0,150524000.0
Mato Grosso,Telecomunicações,Governo Federal,Telebras,Concluído,200170000.0,200170000.0
Minas Gerais,Aeroportos,Governo Federal,Infraero,Concluído,26820000.0,23869800.0
Distrito Federal,Aeroportos,Governo Federal,Infraero,Em Andamento,4160000.0,3494400.0
Distrito Federal,Aeroportos,Entidade Privada,Concessionário,Em Andamento,642400000.0,642400000.0
Ceará,Mobilidade Urbana,Governo Estadual,Governo do Estado do Ceará,Em Andamento,307519777.86,156835086.7086
Ceará,Mobilidade Urbana,Governo Municipal,Prefeitura Municipal de Fortaleza,Em Andamento,152000000.0,24320000.0
Rio de Janeiro,Mobilidade Urbana,Governo Municipal,Prefeitura Municipal do rio de Janeiro,Em Andamento,1969606211.94,1949910149.8206
Pernambuco,Mobilidade Urbana,Governo Estadual,Governo do Estado de Pernambuco,Em Andamento,196000000.0,180320000.0
Pernambuco,Mobilidade Urbana,Governo Estadual,Governo do Estado de Pernambuco,Em Andamento,197700000.0,154206000.0
Pernambuco,Mobilidade Urbana,Governo Estadual,Governo do Estado de Pernambuco,Em Andamento,146100000.0,115419000.0
Pernambuco,Mobilidade Urbana,Governo Municipal,Prefeitura Municipal de Recife,Em Andamento,430436469.19,426132104.4981
Pernambuco,Mobilidade Urbana,Governo Estadual,Governo do Estado de Pernambuco,Concluído,24500000.0,24500000.0
Ceará,Mobilidade Urbana,Governo Municipal,Prefeitura Municipal de Fortaleza,Em Andamento,41600000.0,3744000.0
Ceará,Mobilidade Urbana,Governo Municipal,Prefeitura Municipal de Fortaleza,Em Andamento,41400000.0,31050000.0
Ceará,Mobilidade Urbana,Governo Municipal,Prefeitura Municipal de Fortaleza,Em Andamento,65900000.0,47448000.0
Ceará,Mobilidade Urbana,Governo Estadual,Governo do Estado do Ceará,Em Andamento,43500000.0,23055000.0
Rio Grande do Norte,Mobilidade Urbana,Governo Estadual,Governo do Estado do rio Grande do Norte,Em Andamento,73100000.0,24123000.0
Rio Grande do Norte,Mobilidade Urbana,Governo Municipal,Prefeitura Municipal de Natal,Em Andamento,370947996.91,244825677.96060002
São Paulo,Aeroportos,Entidade Privada,Concessionária Aeroportos Brasil Viracopos s/a,Em Andamento,1180000000.0,1097400000.0
Minas Gerais,Desenvolvimento Turístico,Governo Municipal,Prefeitura Municipal de Belo Horizonte,Não Iniciado,1845612.86,55368.385800000004
Minas Gerais,Desenvolvimento Turístico,Governo Municipal,Prefeitura Municipal de Belo Horizonte,Não Iniciado,721630.77,122677.2309
Ceará,Desenvolvimento Turístico,Governo Municipal,Prefeitura Municipal de Fortaleza,Não Iniciado,22054872.44,5734266.834400001
Minas Gerais,Desenvolvimento Turístico,Governo Estadual,Governo do Estado de Minas Gerais,Não Iniciado,1796227.52,0.0
Minas Gerais,Desenvolvimento Turístico,Governo Estadual,Governo do Estado de Minas Gerais,Em Andamento,290508.56,0.0
Amazonas,Desenvolvimento Turístico,Governo Estadual,Governo do Estado de Amazonas,Não Iniciado,2046153.85,40923.077000000005
Rio Grande do Norte,Desenvolvimento Turístico,Governo Municipal,Prefeitura Municipal de Natal,Não Iniciado,3904950.37,0.0
Rio Grande do Norte,Desenvolvimento Turístico,Governo Municipal,Prefeitura Municipal de Natal,Concluído,363151.84,257837.8064
Distrito Federal,Desenvolvimento Turístico,Governo Distrital,Governo do Distrito Federal,Não Iniciado,4053439.85,202671.9925
Rio Grande do Norte,Desenvolvimento Turístico,Governo Municipal,Prefeitura Municipal de Natal,Em Andamento,14977329.23,6739798.1535
Distrito Federal,Desenvolvimento Turístico,Governo Distrital,Governo do Distrito Federal,Não Iniciado,286461.54,286461.54
Rio Grande do Sul,Desenvolvimento Turístico,Governo Municipal,Prefeitura Municipal de Porto Alegre,Não Iniciado,278149.39,0.0
Rio Grande do Sul,Desenvolvimento Turístico,Governo Municipal,Prefeitura Municipal de Porto Alegre,Não Iniciado,7527835.01,0.0
Mato Grosso,Desenvolvimento Turístico,Governo Municipal,Prefeitura Municipal de Cuiabá,Não Iniciado,1668896.32,0.0
Rio Grande do Sul,Desenvolvimento Turístico,Governo Estadual,Governo do Estado do rio Grande do sul,Não Iniciado,4975100.98,0.0
Mato Grosso,Desenvolvimento Turístico,Governo Municipal,Prefeitura Municipal de Cuiabá,Não Iniciado,1526483.84,0.0
Pernambuco,Desenvolvimento Turístico,Governo Estadual,Governo do Estado de Pernambuco,Não Iniciado,3234817.82,0.0
Rio de Janeiro,Desenvolvimento Turístico,Governo Municipal,Prefeitura Municipal do rio de Janeiro,Não Iniciado,18424615.38,0.0
Paraná,Desenvolvimento Turístico,Governo Estadual,Governo do Estado do Paraná,Não Iniciado,1509851.29,30197.0258
